rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url_region_hint,url_region_status,url,score,source
1,2019,Subaru,Forester,Unknown,1,15950,No change noted,Unchanged for 9 weeks,9,15950,15950,0,0,186124,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1729441997,ville-de-quebec,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ville-de-quebec/forester-2-5i-automatique-awd-garantie-12m-bluetooth-camera-sieg/1729441997,,Kijiji
2,2019,Subaru,Forester,convenience,1,15995,No change noted,Unchanged for 7 weeks,7,15995,15995,0,0,169000,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1738599500,fredericton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/fredericton/2019-subaru-forester-2-5i-convenience-heated-seats-backup-ca/1738599500,,Kijiji
3,2019,Subaru,Forester,convenience,1,16900,No change noted,Unchanged for 7 weeks,7,16900,16900,0,0,90000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1738795946,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2019-subaru-forester/1738795946,,Kijiji
4,2019,Subaru,Forester,limited,2,17200,No change noted,Unchanged for 1 weeks,1,17200,17200,0,0,226217,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740286288,london,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/london/2019-subaru-forester-limited-1-owner-clean-carfax/1740286288,,Kijiji
5,2019,Subaru,Forester,Unknown,1,17493,No change noted,First seen this week,0,17493,17493,0,0,134363,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740580550,longueuil-rive-sud,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2019-subaru-forester-camera-recul-carplay-eyesight-siege-chau/1740580550,,Kijiji
6,2019,Subaru,Forester,Unknown,1,19308,No change noted,Down $400 over 4 weeks,4,19708,19339,-31,-400,182025,Unknown,Gas,Unknown,N/A,Unknown,Unknown,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739358837,grande-prairie,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/grande-prairie/2019-subaru-forester-premier/1739358837,,Kijiji
7,2019,Subaru,Forester,Unknown,1,19995,No change noted,Unchanged for 1 weeks,1,19995,19995,0,0,124072,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740385907,mississauga-peel-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-subaru-forester-2-5i-premier-brown-leather-sunroof-na/1740385907,,Kijiji
8,2019,Subaru,Forester,limited,2,20000,No change noted,First seen this week,0,20000,20000,0,0,151204,2.5L,Gas,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",,disabled_unverified_location,1740550339,winnipeg,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/winnipeg/subaru-forester-limited-2-5l/1740550339,,Kijiji
9,2019,Subaru,Forester,Unknown,1,20999,No change noted,Unchanged for 1 weeks,1,20999,20999,0,0,145114,Unknown,Gas,No accidents reported,N/A,Unknown,Dealer,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740104937,grande-prairie,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/grande-prairie/2019-subaru-forester-2-5i-premier-no-accidents-awd-eyesig/1740104937,,Kijiji
10,2019,Subaru,Forester,convenience,1,21190,No change noted,Down $200 over 1 weeks,1,21390,21390,-200,-200,102401,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1738419499,bedford,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/bedford/2019-subaru-forester-2-5i-convenience/1738419499,,Kijiji
