rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url_region_hint,url_region_status,url,score,source
1,2015,Ford,F-350,xlt,2,13000,No change noted,"Down $1,000 over 8 weeks",8,14000,13000,0,-1000,401672,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1738669626,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2015-f350-f30-xlt-super-duty-crew-cab-4x4-6-7l-diesel/1738669626,,Kijiji
2,2015,Ford,F-350,Unknown,1,29990,No change noted,Unchanged for 6 weeks,6,29990,29990,0,0,157000,6.7L,Diesel,No accidents reported,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",,disabled_unverified_location,1738669963,city-of-toronto,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2015-ford-super-duty-f-350-drw-6-7l-power-stroke-diesel-9-dump/1738669963,,Kijiji
3,2015,Ford,F-350,lariat,3,31900,No change noted,Unchanged for 12 weeks,12,31900,31900,0,0,281981,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1734834544,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2015-ford-super-duty-f-350-srw-lariat-6-7l-diesel-crew-cab/1734834544,,Kijiji
4,2016,Ford,F-350,xlt,2,29900,No change noted,"Down $1,000 over 11 weeks",11,30900,29900,0,-1000,275563,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1737189627,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-super-duty-f-350-srw-xlt-6-7l-diesel-crew-cab-4w/1737189627,,Kijiji
5,2016,Ford,F-350,lariat,3,33500,No change noted,Unchanged for 3 weeks,3,33500,33500,0,0,244367,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Claresholm, AB","Claresholm, AB",,disabled_unverified_location,1740220475,kitchener-waterloo,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2016-ford-f350-6-7l-super-duty/1740220475,,Kijiji
6,2016,Ford,F-350,lariat,3,40680,No change noted,Unchanged for 3 weeks,3,40680,40680,0,0,239852,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Claresholm, AB","Claresholm, AB",,disabled_unverified_location,1740240974,strathcona-county,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2016-ford-super-duty-f-350-lariat-ultimate-918a-6-7l-fx4/1740240974,,Kijiji
7,2016,Ford,F-350,lariat,3,43680,No change noted,Unchanged for 12 weeks,12,43680,43680,0,0,216452,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Claresholm, AB","Claresholm, AB",,disabled_unverified_location,1737928701,strathcona-county,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2016-ford-super-duty-f-350-lariat-ultimate-6-7l-aftermarket/1737928701,,Kijiji
8,2016,Ford,F-350,xlt,2,46000,No change noted,Unchanged for 3 weeks,3,46000,46000,0,0,113000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1740257339,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-f-350-xlt-crew-cab-6-7l-power-stroke-diesel-113-000/1740257339,,Kijiji
9,2017,Ford,F-350,xlt,2,35799,No change noted,Unchanged for 12 weeks,12,35799,35799,0,0,295612,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",,disabled_unverified_location,1729154956,winnipeg,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/winnipeg/2017-ford-super-duty-f-350-srw-xlt-6-7l-powerstroke-bc-truck/1729154956,,Kijiji
10,2017,Ford,F-350,Unknown,1,43999,No change noted,Unchanged for 3 weeks,3,43999,43999,0,0,249322,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Claresholm, AB","Claresholm, AB",,disabled_unverified_location,1740057476,mississauga-peel-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2017-ford-f-350-super-duty-8ft-long-box-6-7l-diesel-matching-c/1740057476,,Kijiji
