rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2022,Kia,Carnival,Unknown,1,20919,No change noted,"Down $2,892 over 4 weeks",4,23811,22401,-1482,-2892,151052,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738912799,https://www.kijiji.ca/v-cars-trucks/moncton/2022-kia-carnival-lx-heated-seats-7-passenger-climate-control/1738912799,0.6196169891556165,Kijiji
2,2022,Kia,Carnival,Unknown,1,22995,No change noted,"Down $2,000 over 3 weeks",3,24995,22995,0,-2000,130053,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1737499656,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2022-kia-carnival-lx/1737499656,0.6224344739495558,Kijiji
3,2022,Kia,Carnival,Unknown,1,30500,No change noted,Unchanged for 1 weeks,1,30500,30500,0,0,60300,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1740013429,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2022-kia-carnival-lx/1740013429,0.6398096285750882,Kijiji
4,2022,Kia,Carnival,Unknown,1,27999,No change noted,Unchanged for 3 weeks,3,27999,27999,0,0,97000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1739386505,https://www.kijiji.ca/v-cars-trucks/ottawa/2022-kia-carnival/1739386505,0.6497209902436297,Kijiji
5,2023,Kia,Carnival,Unknown,1,22995,No change noted,"Down $1,955 over 4 weeks",4,24950,22995,0,-1955,162489,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1736863470,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2023-kia-carnival-lx/1736863470,0.6602856528604417,Kijiji
6,2022,Kia,Carnival,Unknown,1,24000,No change noted,Unchanged for 4 weeks,4,24000,24000,0,0,156000,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1739260936,https://www.kijiji.ca/v-cars-trucks/ottawa/kia-carnaval-2022/1739260936,0.6659401334465725,Kijiji
7,2023,Kia,Carnival,Unknown,1,25999,No change noted,Unchanged for 3 weeks,3,25999,25999,0,0,136211,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738554316,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2023-kia-carnival-lx/1738554316,0.6691562294093488,Kijiji
8,2023,Kia,Carnival,Unknown,1,29895,No change noted,Unchanged for 3 weeks,3,29895,29895,0,0,100104,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1737955096,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2023-kia-carnival-lx-fwd/1737955096,0.678296480371349,Kijiji
9,2023,Kia,Carnival,Unknown,1,30590,No change noted,First seen this week,0,30590,30590,0,0,92477,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1740441413,https://www.kijiji.ca/v-cars-trucks/bedford/2023-kia-carnival-lx/1740441413,0.67854305858979,Kijiji
10,2023,Kia,Carnival,Unknown,1,30590,No change noted,First seen this week,0,30590,30590,0,0,92477,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1740440805,https://www.kijiji.ca/v-cars-trucks/ottawa/2023-kia-carnival-lx/1740440805,0.67854305858979,Kijiji
