rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url_region_hint,url_region_status,url,score,source
1,2022,Kia,Carnival,Unknown,1,19996,No change noted,"Down $3,815 over 6 weeks",6,23811,19996,0,-3815,151052,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1738912799,moncton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/moncton/2022-kia-carnival-lx-heated-seats-7-passenger-climate-control/1738912799,,Kijiji
2,2022,Kia,Carnival,Unknown,1,22995,No change noted,"Down $2,000 over 5 weeks",5,24995,22995,0,-2000,130053,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1737499656,laval-rive-nord,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2022-kia-carnival-lx/1737499656,,Kijiji
3,2022,Kia,Carnival,Unknown,1,24000,No change noted,Unchanged for 6 weeks,6,24000,24000,0,0,156000,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1739260936,ottawa,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ottawa/kia-carnaval-2022/1739260936,,Kijiji
4,2022,Kia,Carnival,Unknown,1,27995,No change noted,Unchanged for 2 weeks,2,27995,27995,0,0,129116,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1739262327,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2022-kia-carnival-ex/1739262327,,Kijiji
5,2022,Kia,Carnival,Unknown,1,27999,No change noted,Unchanged for 5 weeks,5,27999,27999,0,0,97000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1739386505,ottawa,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ottawa/2022-kia-carnival/1739386505,,Kijiji
6,2022,Kia,Carnival,Unknown,1,29995,No change noted,First seen this week,0,29995,29995,0,0,77498,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1740933238,shawinigan,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/shawinigan/kia-carnival-lx-2022-a-vendre/1740933238,,Kijiji
7,2023,Kia,Carnival,Unknown,1,22995,No change noted,"Down $1,955 over 6 weeks",6,24950,22995,0,-1955,162489,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1736863470,laval-rive-nord,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2023-kia-carnival-lx/1736863470,,Kijiji
8,2023,Kia,Carnival,Unknown,1,25995,No change noted,"Down $5,000 over 6 weeks",6,30995,25995,0,-5000,171387,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1729920824,hamilton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/hamilton/2023-kia-carnival-sx/1729920824,,Kijiji
9,2023,Kia,Carnival,Unknown,1,29895,No change noted,Unchanged for 5 weeks,5,29895,29895,0,0,100104,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1737955096,city-of-toronto,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2023-kia-carnival-lx-fwd/1737955096,,Kijiji
10,2023,Kia,Carnival,Unknown,1,32402,No change noted,Unchanged for 3 weeks,3,32402,32402,0,0,72023,Unknown,Gas,Unknown,N/A,Unknown,Private,"Kamloops, BC","Kamloops, BC",,disabled_unverified_location,1740200197,victoria-bc,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/victoria-bc/2023-kia-carnival-lx/1740200197,,Kijiji
