rank,year,make,model,trim,trim_tier,price,price_history,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2015,Ford,F 350,LARIAT,3,25970,"Reduced from $ 29,961,-",212007,6.7L,Diesel,No accidents reported,N/A,Legacy Dodge Chrysler Jeep Ram,Dealer,"324 Gregoire Drive, FORT MCMURRAY, AB, T9H3R2","FORT MCMURRAY, AB",587,address,c57baf22-81c9-4cb6-b00b-5e0fda6c52e3,https://www.autotrader.ca/offers/ford-f-350-lariat-diesel-black-c57baf22-81c9-4cb6-b00b-5e0fda6c52e3,0.46017418513974023,AutoTrader
2,2015,Ford,F 350,LARIAT | 6.7L DIESEL | CREW CAB | 4X4,3,31900,No change noted,281981,6.7L,Diesel,Unknown,N/A,Stampede Auto,Dealer,"2520 Centre Ave, Calgary, AB, T2A 2L2","Calgary, AB",147,address,7ed630d0-56dd-4703-a19d-c2fab5ad6e14,https://www.autotrader.ca/offers/ford-f-350-lariat--6-7l-diesel--crew-cab--4x4-diesel-white-7ed630d0-56dd-4703-a19d-c2fab5ad6e14,0.47104866365480014,AutoTrader
3,2016,Ford,F 350,XLT | 6.7L DIESEL | CREW CAB | 4WD | BED LINER,2,30900,No change noted,275563,6.7L,Diesel,Unknown,N/A,Stampede Auto,Dealer,"2520 Centre Ave, Calgary, AB, T2A 2L2","Calgary, AB",147,address,5d62f35e-2a28-479f-bdab-6a9bc1b677bd,https://www.autotrader.ca/offers/ford-f-350-xlt--6-7l-diesel--crew-cab--4wd--bed-liner-diesel-green-5d62f35e-2a28-479f-bdab-6a9bc1b677bd,0.5336705716702608,AutoTrader
4,2019,Ford,F 350,Lariat 8' Box LEATHER NAV,3,47995,No change noted,194064,6.7L,Diesel,Unknown,N/A,Auto Hub,Dealer,"9232 Horton Road SW, Calgary, AB, T2V2X4","Calgary, AB",158,address,73c989be-1c41-4aba-8765-17cfe967e503,https://www.autotrader.ca/offers/ford-f-350-lariat-8-box-leather-nav-diesel-black-73c989be-1c41-4aba-8765-17cfe967e503,0.5520593996901332,AutoTrader
5,2021,Ford,F 350,XLT,2,44588,No change noted,181137,6.7L,Diesel,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R1M5","RED DEER, AB",1,city_center,3b1df4a3-5711-4219-831d-2e3f8c92eb4c,https://www.autotrader.ca/offers/ford-f-350-xlt-diesel-black-3b1df4a3-5711-4219-831d-2e3f8c92eb4c,0.56103587330976,AutoTrader
6,2020,Ford,F 350,XLT FX4 Crew 4x4 Diesel Rear Camera Trailer Tow Fr,3,55698,No change noted,104589,6.7L,Diesel,Accident reported,N/A,Parkland Chrysler Dodge Jeep Ram,Dealer,"200 St. Matthews Ave, SPRUCE GROVE, AB, T7X3A6","SPRUCE GROVE, AB",172,address,180b0ec3-675b-4e1f-86fa-4e6bfbf7ed3d,https://www.autotrader.ca/offers/ford-f-350-xlt-fx4-crew-4x4-diesel-rear-camera-trailer-tow-fr-diesel-white-180b0ec3-675b-4e1f-86fa-4e6bfbf7ed3d,0.5626558137179044,AutoTrader
7,2022,Ford,F 350,XLT FX4 6.7L Powerstroke | Heated Seats,3,55980,No change noted,149133,6.7L,Diesel,Unknown,N/A,Sherwood Park Chevrolet,Dealer,"500 Premier Way, SHERWOOD PARK, AB, T8H0R5","SHERWOOD PARK, AB",164,address,872b20c5-35ea-426c-95cd-fece602381c9,https://www.autotrader.ca/offers/ford-f-350-xlt-fx4-6-7l-powerstroke--heated-seats-diesel-blue-872b20c5-35ea-426c-95cd-fece602381c9,0.5915255924357234,AutoTrader
8,2021,Ford,F 350,LARIAT LEATHER NAV PANO 5TH WHEEL PREP 8' BOX,3,54995,"Reduced from $ 57,900,-",176373,6.7L,Diesel,Unknown,N/A,Auto Hub,Dealer,"9232 Horton Road SW, Calgary, AB, T2V2X4","Calgary, AB",158,address,19d5d1f0-2beb-47df-bd3e-54d44ec032d7,https://www.autotrader.ca/offers/ford-f-350-lariat-leather-nav-pano-5th-wheel-prep-8-box-diesel-white-19d5d1f0-2beb-47df-bd3e-54d44ec032d7,0.5993180895010781,AutoTrader
9,2022,Ford,F 350,XLT,2,49888,No change noted,178448,6.7L,Diesel,No accidents reported,N/A,Adrenalin Motors,Dealer,"3-Hwy 20, Sylvan Lake, AB, T4S 1Z7","Sylvan Lake, AB",23,address,bdecfc30-c615-4bb6-9900-622d90fa06ca,https://www.autotrader.ca/offers/ford-f-350-xlt-diesel-white-bdecfc30-c615-4bb6-9900-622d90fa06ca,0.6076817650157077,AutoTrader
10,2020,Ford,F 350,LARIAT | 6.7L POWERSTROKE | DELETED | 618A | TREMO,3,56695,No change noted,190813,6.7L,Diesel,Unknown,N/A,Shaw GMC Chevrolet Buick Inc.,Dealer,"4620 Blackfoot Trail SE, CALGARY, AB, T2G4G2","CALGARY, AB",152,address,dfe2ddce-a578-45cb-8632-f44c055eee47,https://www.autotrader.ca/offers/ford-f-350-lariat--6-7l-powerstroke--deleted--618a--tremo-diesel-black-dfe2ddce-a578-45cb-8632-f44c055eee47,0.6214545353643893,AutoTrader
