rank,year,make,model,trim,trim_tier,price,price_history,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2016,Ford,F 150,Lariat,3,20888,No change noted,232812,3.5L,Gasoline,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R1M5","RED DEER, AB",1,city_center,ad8b08a0-569d-4bdd-ac5e-89c2656401ef,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-black-ad8b08a0-569d-4bdd-ac5e-89c2656401ef,0.22191409303237847,AutoTrader
2,2016,Ford,F 150,Lariat,3,22888,No change noted,226896,3.5L,Gasoline,Unknown,N/A,Adrenalin Motors,Dealer,"3-Hwy 20, Sylvan Lake, AB, T4S 1Z7","Sylvan Lake, AB",23,address,4fe7116e-35af-4892-aa05-9a0cbf0451a5,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-black-4fe7116e-35af-4892-aa05-9a0cbf0451a5,0.24150019055980268,AutoTrader
3,2016,Ford,F 150,XLT | One Owner | Twin Turbo,2,15772,No change noted,216842,3.5L,Gasoline,Unknown,N/A,Red Deer Volkswagen,Dealer,"7 Mckenzie Drive, Red Deer, AB, T4S 2H4","Red Deer, AB",11,address,124c246e-25e5-45f7-b907-84a76d724f31,https://www.autotrader.ca/offers/ford-f-150-xlt--one-owner--twin-turbo-gasoline-white-124c246e-25e5-45f7-b907-84a76d724f31,0.2528883248698158,AutoTrader
4,2016,Ford,F 150,Lariat,3,23488,No change noted,183444,2.7L,Gasoline,Unknown,N/A,Advantage Ford,Dealer,"12800 Macleod Trail S.E., CALGARY, AB, T2J7E5","CALGARY, AB",149,city_center,126c8541-8aff-422f-85ca-94fdff73804f,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-126c8541-8aff-422f-85ca-94fdff73804f,0.26126018520371147,AutoTrader
5,2019,Ford,F 150,Lariat,3,27488,No change noted,172866,2.7L,Gasoline,Unknown,N/A,Cam Clark Ford Olds,Dealer,"5042 48 th Street, OLDS, AB, T4H0C6","OLDS, AB",63,city_center,b01cd4c5-292a-4fe9-9de9-10a5776d76e7,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-b01cd4c5-292a-4fe9-9de9-10a5776d76e7,0.2762835681129179,AutoTrader
6,2018,Ford,F 150,LARIAT | Clean Carfax | 3.5L V6,3,29697,No change noted,164316,3.5L,Gasoline,No accidents reported,N/A,Red Deer Volkswagen,Dealer,"7 Mckenzie Drive, Red Deer, AB, T4S 2H4","Red Deer, AB",11,address,d9fe3a0d-0e39-446b-8707-d1b783d7221d,https://www.autotrader.ca/offers/ford-f-150-lariat--clean-carfax--3-5l-v6-gasoline-white-d9fe3a0d-0e39-446b-8707-d1b783d7221d,0.28317981410827914,AutoTrader
7,2018,Ford,F 150,XLT,2,21895,No change noted,245606,3.5L,Gasoline,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R1M5","RED DEER, AB",1,city_center,6cce10ac-9984-48fa-8191-a83d0e3819ba,https://www.autotrader.ca/offers/ford-f-150-xlt-gasoline-6cce10ac-9984-48fa-8191-a83d0e3819ba,0.30792484093209904,AutoTrader
8,2019,Ford,F 150,Lariat SuperCrew | Longbox | Twin Panel Moonroof,3,29795,No change noted,159123,3.5L,Gasoline,Accident reported,N/A,Courtesy Chrysler Dodge Jeep Ram,Dealer,"125 Glendeer Circle S.E., CALGARY, AB, T2H2S8","CALGARY, AB",149,city_center,23effe0e-bdfb-4727-84dc-b943819c4772,https://www.autotrader.ca/offers/ford-f-150-lariat-supercrew--longbox--twin-panel-moonroof-gasoline-white-23effe0e-bdfb-4727-84dc-b943819c4772,0.3088408676323295,AutoTrader
9,2018,Ford,F 150,Platinum  - Navigation -  Leather Seats,3,33999,No change noted,136427,3.5L,Gasoline,Unknown,N/A,Legacy Ford Ponoka,Dealer,"6305 - 42 Avenue, PONOKA, AB, T4J1J8","PONOKA, AB",54,address,941fbd6c-9b58-424b-a380-3cac3df0011c,https://www.autotrader.ca/offers/ford-f-150-platinum-navigation-leather-seats-gasoline-red-941fbd6c-9b58-424b-a380-3cac3df0011c,0.32139410319634315,AutoTrader
10,2017,Ford,F 150,,1,4706,No change noted,190012,3.5L,Gasoline,Unknown,N/A,Grande Prairie Chrysler Jeep Dodge,Dealer,"11448 Westgate Drive, GRANDE PRAIRIE, AB, T8V8L2","GRANDE PRAIRIE, AB",583,address,5546c355-f9ca-4f75-ac97-ae72c33ef35d,https://www.autotrader.ca/offers/ford-f-150-gasoline-white-5546c355-f9ca-4f75-ac97-ae72c33ef35d,0.3375622304527379,AutoTrader
11,2019,Ford,F 150,XLT | CREW CAB | 3.5L ECOBOOST | HEATED SEATS | CA,2,24907,No change noted,147086,3.5L,Gasoline,Unknown,N/A,Sherwood Park Volkswagen,Dealer,"2365 Broadmoor Boulevard, Sherwood Park, AB, T8H1N1","Sherwood Park, AB",165,address,11dc3a44-923d-4f12-b25e-4a91514008ce,https://www.autotrader.ca/offers/ford-f-150-xlt--crew-cab--3-5l-ecoboost--heated-seats--ca-gasoline-red-11dc3a44-923d-4f12-b25e-4a91514008ce,0.3436466271887655,AutoTrader
12,2020,Ford,F 150,"4x4 FX4 Pkg, Excellent Cond, Cheapest One Around!",3,21995,No change noted,211356,3.5L,Gasoline,Unknown,N/A,Gauvin Motors Ltd,Dealer,"720 Chaplin Street West, SWIFT CURRENT, SK, S9H0G4","SWIFT CURRENT, SK",627,address,f616c854-54b4-4c22-b7cc-ac3eccee626c,https://www.autotrader.ca/offers/ford-f-150-4x4-fx4-pkg-excellent-cond-cheapest-one-around-gasoline-grey-f616c854-54b4-4c22-b7cc-ac3eccee626c,0.344269089914329,AutoTrader
13,2023,Ford,F 150,XLT SuperCab 145 | Tow Pkg | FX4 Pkg | SYNC 4,3,35000,No change noted,128021,3.5L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",155,address,ae3970c3-08cc-4239-9304-e4e41f6fb18d,https://www.autotrader.ca/offers/ford-f-150-xlt-supercab-145--tow-pkg--fx4-pkg--sync-4-gasoline-silver-ae3970c3-08cc-4239-9304-e4e41f6fb18d,0.34697639590749135,AutoTrader
14,2019,Ford,F 150,XLT REMOTE START | HEATED SEATS | CLOTH,2,26595,No change noted,141802,2.7L,Gasoline,Unknown,N/A,Cam Clark Ford Calgary/Airdrie,Dealer,"1001 Highland Park Blvd NE, AIRDRIE, AB, T4A0R2","AIRDRIE, AB",118,address,5a5039ca-c200-45fc-af73-37263cbde19b,https://www.autotrader.ca/offers/ford-f-150-xlt-remote-start--heated-seats--cloth-gasoline-white-5a5039ca-c200-45fc-af73-37263cbde19b,0.34780836013971134,AutoTrader
15,2022,Ford,F 150,FX4 PKG 4WD SUPERCREW 6.5'BOX 3.5L B.S.A/NAVI/CAM,3,34995,"Reduced from $ 35,995,-",150729,3.5L,Gasoline,Unknown,N/A,Southview Motors Inc.,Dealer,"3419 17th Avenue SE, CALGARY, AB, T2A0R3","CALGARY, AB",149,city_center,423c0d9f-03d5-48f8-b45a-805bccfdc262,https://www.autotrader.ca/offers/ford-f-150-fx4-pkg-4wd-supercrew-6-5box-3-5l-b-s-a-navi-cam-gasoline-white-423c0d9f-03d5-48f8-b45a-805bccfdc262,0.35045666512140733,AutoTrader
16,2021,Ford,F 150,Lariat,3,38888,No change noted,163819,5.0L,Gasoline,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R1M5","RED DEER, AB",1,city_center,00020ffa-2e69-407b-a9fa-b39109d93380,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-black-00020ffa-2e69-407b-a9fa-b39109d93380,0.3577936743689009,AutoTrader
17,2016,Ford,F 150,LARIAT | 4X4 | LEATHER INTERIOR | HEATED & COOLED,3,26988,No change noted,130975,5.0L,Gasoline,Unknown,N/A,Mazda of Grande Prairie,Dealer,"12709-100 Street, Grande Prairie, AB, T8V4H2","Grande Prairie, AB",577,address,00857db7-24c9-4440-8b15-9b8b39119b19,https://www.autotrader.ca/offers/ford-f-150-lariat--4x4--leather-interior--heated-cooled-gasoline-black-00857db7-24c9-4440-8b15-9b8b39119b19,0.3600373324915699,AutoTrader
18,2023,Ford,F 150,XLT SuperCab 145 | FX4 Pkg | Tow Pkg | SYNC 4,3,38000,No change noted,103044,3.5L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",155,address,af7bb4c0-537d-43f5-8904-a066edd5cb83,https://www.autotrader.ca/offers/ford-f-150-xlt-supercab-145--fx4-pkg--tow-pkg--sync-4-gasoline-grey-af7bb4c0-537d-43f5-8904-a066edd5cb83,0.36686400199889274,AutoTrader
19,2018,Ford,F 150,LARIAT | LEATHER | HEATED SEATS | 5.0 L |,3,17995,No change noted,335681,5.0L,Gasoline,Unknown,N/A,OLYMPIC SUPER CENTER,Dealer,"665 University Park Dr, REGINA, SK, S4R2V8","REGINA, SK",790,address,54351730-592a-43e4-bd5f-6a4f358fe9d7,https://www.autotrader.ca/offers/ford-f-150-lariat--leather--heated-seats--5-0-l--gasoline-red-54351730-592a-43e4-bd5f-6a4f358fe9d7,0.36698537244703655,AutoTrader
20,2021,Ford,F 150,Lariat,3,36888,No change noted,162466,2.7L,Gasoline,Unknown,N/A,Advantage Ford,Dealer,"12800 Macleod Trail S.E., CALGARY, AB, T2J7E5","CALGARY, AB",149,city_center,0558c94a-3bce-4342-8c96-f9c15e7df6fe,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-grey-0558c94a-3bce-4342-8c96-f9c15e7df6fe,0.3686345007214566,AutoTrader
21,2020,Ford,F 150,KING RANCH|LEATHER STEERING WHEEL|TECH PKG|MAX TRA,3,38888,No change noted,153095,3.5L,Gasoline,Unknown,N/A,Champion Ford,Dealer,"1 Champion Road, Carstairs, AB, T0M 0N0","Carstairs, AB",91,address,6f158513-79be-4cb5-afd6-9df4b602f00e,https://www.autotrader.ca/offers/ford-f-150-king-ranchleather-steering-wheeltech-pkgmax-tra-gasoline-white-6f158513-79be-4cb5-afd6-9df4b602f00e,0.37249458369778826,AutoTrader
22,2021,Ford,F 150,XLT 302A SPORT FX4 | REMOTE START,3,32760,No change noted,156220,2.7L,Gasoline,Accident reported,N/A,Boundary Ford Sales,Dealer,"2502-50th Avenue, Lloydminster, SK, T9V2S3","Lloydminster, SK",368,city_center,ac71d068-5524-4e67-a8a7-b1c783d35427,https://www.autotrader.ca/offers/ford-f-150-xlt-302a-sport-fx4--remote-start-gasoline-white-ac71d068-5524-4e67-a8a7-b1c783d35427,0.37406925887216286,AutoTrader
23,2019,Ford,F 150,XLT *No Damage History/One Previous Owner*,2,30994,No change noted,93634,3.5L,Gasoline,Unknown,N/A,GO AUTO OUTLET SOUTH,Dealer,"2262 Sparrow Dr, Nisku, AB, T9E 8A2","Nisku, AB",129,address,65814283-5cca-4f0f-ada2-a6188eeaae2a,https://www.autotrader.ca/offers/ford-f-150-xlt-no-damage-history-one-previous-owner-gasoline-red-65814283-5cca-4f0f-ada2-a6188eeaae2a,0.3766723601786059,AutoTrader
24,2019,Ford,F 150,XLT Sport *Rare/Well Equipped*,2,30990,No change noted,101752,3.5L,Gasoline,Unknown,N/A,GO AUTO OUTLET SOUTH,Dealer,"2262 Sparrow Dr, Nisku, AB, T9E 8A2","Nisku, AB",129,address,21ae584c-2d15-4f21-98e4-0f887e524cde,https://www.autotrader.ca/offers/ford-f-150-xlt-sport-rare-well-equipped-gasoline-red-21ae584c-2d15-4f21-98e4-0f887e524cde,0.37830078696178127,AutoTrader
25,2017,Ford,F 150,XLT SuperCrew - 4x4 - 5.0L V8 - REMOTE START,2,18637,No change noted,223094,5.0L,Gasoline,Unknown,N/A,Saskatoon Auto Connection,Dealer,"139A 105th Street East, SASKATOON, SK, S7N1Z2","SASKATOON, SK",546,address,dc0725cb-bded-46c2-90e0-6ea5be80ff0f,https://www.autotrader.ca/offers/ford-f-150-xlt-supercrew-4x4-5-0l-v8-remote-start-gasoline-white-dc0725cb-bded-46c2-90e0-6ea5be80ff0f,0.3784815594289131,AutoTrader
26,2019,Ford,F 150,XLT  302A SPORT | LONGBOX | 3.5L ECO,2,32998,No change noted,93649,3.5L,Gasoline,Accident reported,N/A,Legacy Ford Ponoka,Dealer,"6305 - 42 Avenue, PONOKA, AB, T4J1J8","PONOKA, AB",54,address,db815fe5-c040-4a96-8f23-0f23c4dad2ed,https://www.autotrader.ca/offers/ford-f-150-xlt-302a-sport--longbox--3-5l-eco-gasoline-red-db815fe5-c040-4a96-8f23-0f23c4dad2ed,0.3792956089026414,AutoTrader
27,2021,Ford,F 150,XLT | 300A | SuperCrew 145 | Keyless Entry | Backu,2,29500,No change noted,156062,5.0L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",155,address,def0f857-6aa3-4d14-959f-84310e4559f2,https://www.autotrader.ca/offers/ford-f-150-xlt--300a--supercrew-145--keyless-entry--backu-gasoline-blue-def0f857-6aa3-4d14-959f-84310e4559f2,0.3818823123465474,AutoTrader
28,2021,Ford,F 150,"Lariat Lariat luxury, heated & cooled leather seat",3,41496,No change noted,169129,3.5L,Gasoline,Unknown,N/A,Cam Clark Ford Red Deer,Dealer,"417 Lantern Street, RED DEER, AB, T4E0A5","RED DEER, AB",8,address,d12312c1-2ba4-4b2b-8e22-61de78a60172,https://www.autotrader.ca/offers/ford-f-150-lariat-lariat-luxury-heated-cooled-leather-seat-gasoline-black-d12312c1-2ba4-4b2b-8e22-61de78a60172,0.3819284735805969,AutoTrader
29,2022,Ford,F 150,"XLT 6.5 box, FX4 Off-Road, Max Trailer Tow, heate",3,43757,No change noted,89204,3.5L,Gasoline,No accidents reported,N/A,Cam Clark Ford Red Deer,Dealer,"417 Lantern Street, RED DEER, AB, T4E0A5","RED DEER, AB",8,address,ec902c58-edf9-4f17-a37a-04c9d37b5419,https://www.autotrader.ca/offers/ford-f-150-xlt-6-5-box-fx4-off-road-max-trailer-tow-heate-gasoline-white-ec902c58-edf9-4f17-a37a-04c9d37b5419,0.3844097469982508,AutoTrader
30,2018,Ford,F 150,XLT,2,22888,"Reduced from $ 24,888,-",211290,3.5L,Gasoline,Unknown,N/A,Medicine Hat House of Cars Inc.,Dealer,"621 - 15 Street SW, Medicine Hat, AB, T1A 4W4","Medicine Hat, AB",406,address,7c0d8b3b-b13d-43ee-8b76-ec3b7321c2c5,https://www.autotrader.ca/offers/ford-f-150-xlt-gasoline-black-7c0d8b3b-b13d-43ee-8b76-ec3b7321c2c5,0.3852080086593465,AutoTrader
31,2020,Ford,F 150,LARIAT 4WD SuperCrew 5.5' Box,3,33909,No change noted,178078,2.7L,Gasoline,Unknown,N/A,Gary Moe Lethbridge Chrysler Dodge Jeep Ram,Dealer,"2324 5 Ave N, Lethbridge, AB, T1H 5B5","Lethbridge, AB",356,address,82be1202-2a50-49fa-b0ed-7b4063fa7cf7,https://www.autotrader.ca/offers/ford-f-150-lariat-4wd-supercrew-5-5-box-gasoline-black-82be1202-2a50-49fa-b0ed-7b4063fa7cf7,0.38586595138740204,AutoTrader
32,2020,Ford,F 150,XLT | 301A | SuperCrew 145 | Remote Start | Tow Pk,2,32000,No change noted,121101,3.5L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",155,address,5c3003e5-ec53-496a-98a0-c88ed8c92ed4,https://www.autotrader.ca/offers/ford-f-150-xlt--301a--supercrew-145--remote-start--tow-pk-gasoline-grey-5c3003e5-ec53-496a-98a0-c88ed8c92ed4,0.39555945005788257,AutoTrader
33,2018,Ford,F 150,Lariat | Remote Start | Leather,3,29707,No change noted,189001,5.0L,Gasoline,Unknown,N/A,Grande Prairie Chrysler Jeep Dodge,Dealer,"11448 Westgate Drive, GRANDE PRAIRIE, AB, T8V8L2","GRANDE PRAIRIE, AB",583,address,125d9504-7039-487a-a209-7ea8016ec682,https://www.autotrader.ca/offers/ford-f-150-lariat--remote-start--leather-gasoline-white-125d9504-7039-487a-a209-7ea8016ec682,0.39570041708218506,AutoTrader
34,2021,Ford,F 150,Lariat HEATED STEERING | REMOTE START | HEAT + COO,3,42667,No change noted,117838,3.5L,Gasoline,Unknown,N/A,Cam Clark Ford Calgary/Airdrie,Dealer,"1001 Highland Park Blvd NE, AIRDRIE, AB, T4A0R2","AIRDRIE, AB",118,address,287e5dd1-38c0-4921-b633-b5184e7023c6,https://www.autotrader.ca/offers/ford-f-150-lariat-heated-steering--remote-start--heat-coo-gasoline-red-287e5dd1-38c0-4921-b633-b5184e7023c6,0.40183847700796155,AutoTrader
35,2022,Ford,F 150,Lariat,3,46388,No change noted,74817,2.7L,Gasoline,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R1M5","RED DEER, AB",1,city_center,1ecdde28-0d30-498d-a47f-0e403239e4d0,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-red-1ecdde28-0d30-498d-a47f-0e403239e4d0,0.4020759400815216,AutoTrader
36,2017,Ford,F 150,XLT,2,20708,No change noted,221561,3.5L,Gasoline,Unknown,N/A,Grande Prairie Chrysler Jeep Dodge,Dealer,"11448 Westgate Drive, GRANDE PRAIRIE, AB, T8V8L2","GRANDE PRAIRIE, AB",583,address,17ff7b27-9921-42ef-b8de-8a043edb32b1,https://www.autotrader.ca/offers/ford-f-150-xlt-gasoline-blue-17ff7b27-9921-42ef-b8de-8a043edb32b1,0.40237255688769186,AutoTrader
