rank,year,make,model,trim,trim_tier,price,price_history,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2016,Ford,F 150,Lariat,3,20888,No change noted,232812,3.5L,Gasoline,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R1M5","RED DEER, AB",1,city_center,ad8b08a0-569d-4bdd-ac5e-89c2656401ef,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-black-ad8b08a0-569d-4bdd-ac5e-89c2656401ef,0.31297917171282574,AutoTrader
2,2016,Ford,F 150,Lariat,3,22888,No change noted,226896,3.5L,Gasoline,Unknown,N/A,Adrenalin Motors,Dealer,"3-Hwy 20, Sylvan Lake, AB, T4S 1Z7","Sylvan Lake, AB",23,address,4fe7116e-35af-4892-aa05-9a0cbf0451a5,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-black-4fe7116e-35af-4892-aa05-9a0cbf0451a5,0.3302526150779035,AutoTrader
3,2018,Ford,F 150,Lariat,3,25700,No change noted,177500,3.5L,Gasoline,Unknown,N/A,Aspen Ford Sales Ltd.,Dealer,"4402 - 42 St., STETTLER, AB, T0C2L0","STETTLER, AB",82,address,01143830-28f3-40d5-9571-1cee5e0af713,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-red-01143830-28f3-40d5-9571-1cee5e0af713,0.335333924543089,AutoTrader
4,2019,Ford,F 150,LARIAT 4WD SUPERCREW BACKUP CAMERA NAVIGATION PUSH,3,31988,"Reduced from $ 32,988,-",133990,3.5L,Gasoline,Unknown,N/A,Auto House,Dealer,"2404 23rd Ave NE, CALGARY, AB, T2E8J4","CALGARY, AB",149,city_center,3f068692-f456-4dfb-8b26-82619990cc68,https://www.autotrader.ca/offers/ford-f-150-lariat-4wd-supercrew-backup-camera-navigation-push-gasoline-white-3f068692-f456-4dfb-8b26-82619990cc68,0.3743930930086701,AutoTrader
5,2018,Ford,F 150,Lariat Sport,3,31977,No change noted,148255,3.5L,Gasoline,Unknown,N/A,Strathmore Ford,Dealer,"1040 - Westridge Road, Strathmore, AB, T1P 1H8","Strathmore, AB",186,address,cb98b965-df13-4e08-a155-e6ebbfa4433b,https://www.autotrader.ca/offers/ford-f-150-lariat-sport-gasoline-black-cb98b965-df13-4e08-a155-e6ebbfa4433b,0.389746741983973,AutoTrader
6,2018,Ford,F 150,XLT 302A PACKAGE | NO ACCIDENTS | TONNEAU COVER |,2,22787,No change noted,172078,2.7L,Gasoline,No accidents reported,N/A,Leduc Hyundai,Dealer,"7014 Sparrow Drive, Leduc, AB, T9E 8A5","Leduc, AB",124,address,9310f94e-65f4-4d51-928e-bd439fc08f64,https://www.autotrader.ca/offers/ford-f-150-xlt-302a-package--no-accidents--tonneau-cover--gasoline-white-9310f94e-65f4-4d51-928e-bd439fc08f64,0.3907113095728669,AutoTrader
7,2019,Ford,F 150,XLT REMOTE START | HEATED SEATS | CLOTH,2,26595,No change noted,141802,2.7L,Gasoline,Unknown,N/A,Cam Clark Ford Calgary/Airdrie,Dealer,"1001 Highland Park Blvd NE, AIRDRIE, AB, T4A0R2","AIRDRIE, AB",118,address,5a5039ca-c200-45fc-af73-37263cbde19b,https://www.autotrader.ca/offers/ford-f-150-xlt-remote-start--heated-seats--cloth-gasoline-white-5a5039ca-c200-45fc-af73-37263cbde19b,0.40328232510008927,AutoTrader
8,2018,Ford,F 150,XLT,2,21895,No change noted,245606,3.5L,Gasoline,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R1M5","RED DEER, AB",1,city_center,6cce10ac-9984-48fa-8191-a83d0e3819ba,https://www.autotrader.ca/offers/ford-f-150-xlt-gasoline-6cce10ac-9984-48fa-8191-a83d0e3819ba,0.40399425097404434,AutoTrader
9,2019,Ford,F 150,"XLT SPORT; REMOTE STARTER, TONNEAU COVER, NAV, TRA",2,26997,No change noted,131603,2.7L,Gasoline,Unknown,N/A,Toyota on the Trail,Dealer,"5210 Calgary Trail NW, Edmonton, AB, T6H 4J8","Edmonton, AB",147,address,8ff9b138-3b00-4432-9334-37818abefadb,https://www.autotrader.ca/offers/ford-f-150-xlt-sport-remote-starter-tonneau-cover-nav-tra-gasoline-red-8ff9b138-3b00-4432-9334-37818abefadb,0.40600030718307667,AutoTrader
10,2023,Ford,F 150,XLT SuperCab 145 | FX4 Pkg | Tow Pkg | SYNC 4,3,38000,No change noted,103044,3.5L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",155,address,af7bb4c0-537d-43f5-8904-a066edd5cb83,https://www.autotrader.ca/offers/ford-f-150-xlt-supercab-145--fx4-pkg--tow-pkg--sync-4-gasoline-grey-af7bb4c0-537d-43f5-8904-a066edd5cb83,0.40718593339040976,AutoTrader
11,2016,Ford,F 150,Lariat - 4x4 - 501A - FX4 - SK TRUCK,3,18999,No change noted,248667,3.5L,Gasoline,Unknown,N/A,Saskatoon Auto Connection,Dealer,"139A 105th Street East, SASKATOON, SK, S7N1Z2","SASKATOON, SK",546,address,3accf5e8-8f8a-481d-95f5-fa0c3bb717e8,https://www.autotrader.ca/offers/ford-f-150-lariat-4x4-501a-fx4-sk-truck-gasoline-black-3accf5e8-8f8a-481d-95f5-fa0c3bb717e8,0.4089980558962789,AutoTrader
12,2022,Ford,F 150,FX4 PKG 4WD SUPERCREW 6.5'BOX 3.5L B.S.A/NAVI/CAM,3,34995,"Reduced from $ 35,995,-",150729,3.5L,Gasoline,Unknown,N/A,Southview Motors Inc.,Dealer,"3419 17th Avenue SE, CALGARY, AB, T2A0R3","CALGARY, AB",149,city_center,423c0d9f-03d5-48f8-b45a-805bccfdc262,https://www.autotrader.ca/offers/ford-f-150-fx4-pkg-4wd-supercrew-6-5box-3-5l-b-s-a-navi-cam-gasoline-white-423c0d9f-03d5-48f8-b45a-805bccfdc262,0.4094266737513537,AutoTrader
13,2021,Ford,F 150,LARIAT *No Damage History/Very Low KMs*,3,43888,No change noted,34574,2.7L,Gasoline,Unknown,N/A,GO AUTO OUTLET SOUTH,Dealer,"2262 Sparrow Dr, Nisku, AB, T9E 8A2","Nisku, AB",129,address,9bbc8cf1-8455-4d42-bd5f-d93c8990823c,https://www.autotrader.ca/offers/ford-f-150-lariat-no-damage-history-very-low-kms-gasoline-white-9bbc8cf1-8455-4d42-bd5f-d93c8990823c,0.4105809048627157,AutoTrader
